zone_level,support_touches,resistance_touches,total_touches,strength
148.576,952,1021,1973,952
148.585,952,1017,1969,952
148.907,974,952,1926,952
148.848,952,964,1916,952
146.84,1062,950,2012,950
148.918,975,950,1925,950
148.837,950,974,1924,950
148.82,950,962,1912,950
146.842,1063,949,2012,949
148.915,973,949,1922,949
148.804,949,958,1907,949
148.802,949,958,1907,949
148.583,948,1020,1968,948
148.59,948,1018,1966,948
148.587,948,1017,1965,948
148.829,948,969,1917,948
148.827,948,967,1915,948
150.073,967,947,1914,947
148.801,947,958,1905,947
148.806,947,957,1904,947
148.602,946,1017,1963,946
148.784,946,948,1894,946
148.774,946,947,1893,946
148.778,946,946,1892,946
148.777,946,945,1891,945
148.595,944,1017,1961,944
148.594,944,1017,1961,944
148.787,944,950,1894,944
148.781,945,944,1889,944
146.827,1058,943,2001,943
148.926,976,943,1919,943
148.924,973,943,1916,943
150.084,963,943,1906,943
148.794,943,956,1899,943
148.756,943,951,1894,943
146.825,1056,942,1998,942
148.609,942,1008,1950,942
148.97,988,942,1930,942
148.967,987,942,1929,942
148.961,985,942,1927,942
148.962,982,942,1924,942
150.091,962,942,1904,942
150.089,962,942,1904,942
148.765,942,948,1890,942
146.822,1058,941,1999,941
148.958,983,941,1924,941
148.959,985,940,1925,940
148.931,972,940,1912,940
150.095,959,940,1899,940
146.817,1053,939,1992,939
146.816,1049,939,1988,939
148.991,998,939,1937,939
148.986,998,939,1937,939
148.953,985,939,1924,939
148.992,1000,938,1938,938
148.982,995,938,1933,938
148.952,983,938,1921,938
150.099,959,938,1897,938
150.117,958,938,1896,938
148.619,937,1001,1938,937
148.939,978,937,1915,937
150.113,959,937,1896,937
146.807,1046,936,1982,936
146.808,1045,936,1981,936
149.001,1001,935,1936,935
148.995,997,935,1932,935
148.996,996,935,1931,935
148.747,935,951,1886,935
149.004,1002,934,1936,934
148.742,934,953,1887,934
146.801,1043,933,1976,933
146.793,1038,933,1971,933
149.005,1004,933,1937,933
149.019,998,933,1931,933
148.739,933,955,1888,933
146.797,1042,932,1974,932
149.02,997,932,1929,932
148.733,932,957,1889,932
148.738,932,956,1888,932
146.786,1039,930,1969,930
148.633,929,994,1923,929
148.721,929,959,1888,929
148.714,928,957,1885,928
150.136,955,928,1883,928
146.785,1039,927,1966,927
149.033,997,927,1924,927
149.034,997,927,1924,927
149.035,997,927,1924,927
148.646,926,984,1910,926
148.704,926,961,1887,926
148.659,925,977,1902,925
148.656,925,977,1902,925
148.698,925,962,1887,925
148.703,925,961,1886,925
148.7,925,961,1886,925
148.694,925,960,1885,925
148.709,925,959,1884,925
150.148,952,925,1877,925
148.705,924,962,1886,924
150.151,952,924,1876,924
150.15,952,924,1876,924
150.147,952,924,1876,924
150.146,952,924,1876,924
148.65,923,985,1908,923
148.693,923,960,1883,923
148.701,923,960,1883,923
150.152,952,923,1875,923
148.651,922,981,1903,922
148.672,922,971,1893,922
148.671,922,970,1892,922
150.154,952,922,1874,922
148.685,921,968,1889,921
150.159,950,921,1871,921
146.779,1034,920,1954,920
148.682,920,969,1889,920
148.684,920,966,1886,920
150.161,949,920,1869,920
146.768,1027,916,1943,916
146.767,1025,914,1939,914
150.18,944,913,1857,913
150.186,941,911,1852,911
150.19,937,911,1848,911
150.191,936,911,1847,911
150.182,943,910,1853,910
146.755,1017,904,1921,904
146.748,1012,898,1910,898
146.745,1011,896,1907,896
146.744,1012,895,1907,895
146.742,1014,894,1908,894
150.234,913,891,1804,891
150.239,910,891,1801,891
150.245,907,891,1798,891
146.736,1006,888,1894,888
150.253,900,888,1788,888
150.264,894,886,1780,886
150.263,894,886,1780,886
150.273,889,882,1771,882
146.718,1005,875,1880,875
150.285,888,873,1761,873
146.71,998,867,1865,867
146.711,996,867,1863,867
150.292,885,865,1750,865
150.298,881,863,1744,863
150.315,873,852,1725,852
146.698,995,851,1846,851
144.269,862,850,1712,850
144.27,860,850,1710,850
144.273,857,849,1706,849
144.276,857,848,1705,848
144.275,856,848,1704,848
144.258,858,847,1705,847
144.282,853,847,1700,847
150.321,868,845,1713,845
144.256,858,845,1703,845
144.308,848,845,1693,845
144.31,850,844,1694,844
156.373,898,843,1741,843
156.372,897,842,1739,842
144.246,862,842,1704,842
144.244,862,842,1704,842
144.314,849,842,1691,842
156.37,897,841,1738,841
144.392,841,850,1691,841
144.348,845,841,1686,841
146.691,989,840,1829,840
156.284,902,840,1742,840
156.332,896,840,1736,840
144.387,840,849,1689,840
144.386,840,849,1689,840
156.281,905,839,1744,839
156.282,904,839,1743,839
156.285,902,839,1741,839
156.362,897,839,1736,839
144.35,842,839,1681,839
144.354,839,842,1681,839
