Open,High,Low,Close,Volume ,DATE,Time,is_swing_low,is_swing_high,datetime,ts,support,resistance
147.592,147.654,147.442,147.604,11724.4,2025-03-07,05:00:00,false,false,2025-03-07T05:00:00.000000,1741323600000,146.309,147.568
147.605,147.709,147.474,147.674,9869.09,2025-03-07,06:00:00,false,false,2025-03-07T06:00:00.000000,1741327200000,146.309,147.568
147.674,147.752,147.451,147.451,9649.09,2025-03-07,07:00:00,false,false,2025-03-07T07:00:00.000000,1741330800000,146.309,147.568
147.452,147.645,147.387,147.492,10339.94,2025-03-07,08:00:00,false,false,2025-03-07T08:00:00.000000,1741334400000,146.309,147.568
147.491,147.747,147.483,147.651,15809.4,2025-03-07,09:00:00,false,false,2025-03-07T09:00:00.000000,1741338000000,146.309,147.568
147.654,147.752,147.201,147.336,21298.29,2025-03-07,10:00:00,false,false,2025-03-07T10:00:00.000000,1741341600000,146.309,147.568
147.335,147.583,147.289,147.441,15258.44,2025-03-07,11:00:00,false,false,2025-03-07T11:00:00.000000,1741345200000,146.309,147.568
147.441,147.559,147.379,147.553,10559.88,2025-03-07,12:00:00,false,false,2025-03-07T12:00:00.000000,1741348800000,146.309,147.568
147.553,147.743,147.495,147.694,10840.7,2025-03-07,13:00:00,false,false,2025-03-07T13:00:00.000000,1741352400000,146.309,147.568
147.693,147.852,147.63,147.745,14423.27,2025-03-07,14:00:00,false,false,2025-03-07T14:00:00.000000,1741356000000,146.309,147.568
147.744,147.965,147.116,147.225,32490.52,2025-03-07,15:00:00,false,false,2025-03-07T15:00:00.000000,1741359600000,146.309,147.568
147.225,147.674,146.944,147.515,33513.03,2025-03-07,16:00:00,true,false,2025-03-07T16:00:00.000000,1741363200000,146.309,147.568
147.515,147.723,147.191,147.517,35407.43,2025-03-07,17:00:00,false,false,2025-03-07T17:00:00.000000,1741366800000,146.309,147.568
147.518,147.597,147.024,147.133,27260.22,2025-03-07,18:00:00,false,false,2025-03-07T18:00:00.000000,1741370400000,146.309,147.568
